1password 8.11.22-27
lmdb 0.9.33-1
localsearch 3.10.2-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1765228720+7152e15-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
mako 1.10.0-1
man-db 2.13.1-1
man-pages 6.16-1
mbedtls 3.6.5-1
md4c 0.5.2-1
mdadm 4.4-2
mesa 1:25.3.2-1
minizip 1:1.3.1-2
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mpd 0.24.6-2
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
mpv 1:0.40.0-7
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.8-1
nano 8.7-1
nautilus 49.2-1
ncdu 2.9.2-1
ncmpcpp 0.10.1-6
ncurses 6.5-4
neovim 0.11.5-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.3-1
nm-connection-editor 1.36.0-1
noto-fonts 1:2025.12.01-2
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npth 1.8-1
nspr 4.38.2-1
nss 3.119.1-1
nvidia-open-dkms 590.48.01-1
nvidia-utils 590.48.01-1
nvtop 3.2.0-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
openal 1.25.0-1
opencore-amr 0.1.6-2
openh264 2.6.0-1
openjpeg2 2.5.4-1
openrgb 1.0rc2-4
opensc 0.26.1-1
openssh 10.2p1-2
openssl 3.6.0-1
opus 1.6-1
orc 0.4.41-1
osinfo-db 20251212-1
p11-kit 0.25.10-2
pacman 7.1.0.r7.gb9f7d4a-1
pacman-mirrorlist 20251021-1
pahole 1:1.31-1
pam 1.7.1-1
pambase 20250719-1
pamixer 1.6-3
pango 1:1.57.0-2
pangomm 2.46.4-1
papirus-icon-theme 20250501-1
parted 3.6-2
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.33-9
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pipewire-alsa 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-jack 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
playerctl 2.4.1-5
polkit 127-2
polkit-kde-agent 6.5.4-1
polkit-qt6 0.200.0-1
poppler 25.12.0-1
poppler-data 0.4.12-2
poppler-glib 25.12.0-1
popt 1.19-2
portaudio 1:19.7.0-3
pps-tools 1.0.3-2
procps-ng 4.0.5-3
protobuf 33.1-1
psmisc 23.7-1
pugixml 1.15-2
pulsemixer 1.5.1-7
python 3.13.11-1
